試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788115,2026-03-05,Pool C,C,2,Korea,Czechia,808951,Jeff Barto,823572,Ju Won Kim,1,安打,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,2,Korea,Czechia,808951,Jeff Barto,838339,Do Yeong Kim,5,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,2,Korea,Czechia,808951,Jeff Barto,663330,Jahmai Jones,2,フォースアウト,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,2,Korea,Czechia,808951,Jeff Barto,808982,Jung Hoo Lee,4,四球,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788115,2026-03-05,Pool C,C,2,Korea,Czechia,808951,Jeff Barto,838336,Hyun Min Ahn,6,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,3,Czechia,Korea,808984,Hyeong Jun So,807160,Milan Prokop,1,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,3,Czechia,Korea,808984,Hyeong Jun So,693975,Martin Cervinka,8,ゴロ併殺,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,3,Czechia,Korea,808984,Hyeong Jun So,679631,Terrin Vavra,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,3,Korea,Czechia,808951,Jeff Barto,823575,Bo Gyeong Moon,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,3,Korea,Czechia,808951,Jeff Barto,694376,Shay Whitcomb,5,本塁打,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,4
788115,2026-03-05,Pool C,C,3,Korea,Czechia,808951,Jeff Barto,808975,Hyeseong Kim,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,3,Korea,Czechia,808951,Jeff Barto,673526,Dong Won Park,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,4,Czechia,Korea,628359,Kyung-Eun Noh,548431,Martin Cervenka,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
