試合ID,イニング,攻撃チーム,得点,安打数,失策,残塁,累積得点,得点差
788103,9,Dominican Republic,1,1,0,1,10,9
788103,9,Israel,0,0,0,0,1,-9
788133,1,Colombia,0,0,0,0,0,0
788133,1,Panama,0,0,0,0,0,0
788133,2,Colombia,0,0,0,0,0,0
788133,2,Panama,0,0,0,0,0,0
788133,3,Colombia,0,1,0,1,0,0
788133,3,Panama,0,0,0,1,0,0
788133,4,Colombia,0,0,0,0,0,0
788133,4,Panama,0,0,0,0,0,0
788133,5,Colombia,0,0,0,2,0,0
788133,5,Panama,0,0,0,1,0,0
788133,6,Colombia,4,3,1,1,4,4
788133,6,Panama,1,1,0,1,1,-3
788133,7,Colombia,0,0,0,0,4,3
788133,7,Panama,0,1,0,2,1,-3
788133,8,Colombia,0,0,0,0,4,3
788133,8,Panama,2,4,0,2,3,-1
788133,9,Colombia,0,0,0,0,4,1
788133,9,Panama,0,1,0,1,3,-1
788123,1,Brazil,0,0,0,2,0,0
788123,1,Great Britain,0,0,0,0,0,0
788123,2,Brazil,0,0,0,0,0,0
788123,2,Great Britain,0,1,0,2,0,0
788123,3,Brazil,0,0,0,0,0,0
788123,3,Great Britain,0,0,0,0,0,0
788123,4,Brazil,0,0,0,0,0,0
788123,4,Great Britain,0,1,0,1,0,0
788123,5,Brazil,1,1,0,1,1,1
788123,5,Great Britain,3,3,0,1,3,2
788123,6,Brazil,0,0,1,0,1,-2
788123,6,Great Britain,1,0,0,2,4,3
788123,7,Brazil,0,0,0,0,1,-3
788123,7,Great Britain,2,2,0,1,6,5
788123,8,Brazil,0,0,0,1,1,-5
788123,8,Great Britain,2,1,0,1,8,7
788123,9,Brazil,0,0,0,0,1,-7
788123,9,Great Britain,0,0,0,0,8,7
788131,1,Cuba,0,0,0,1,0,0
788131,1,Puerto Rico,0,1,0,1,0,0
788131,2,Cuba,0,0,0,0,0,0
788131,2,Puerto Rico,3,3,0,3,3,3
788131,3,Cuba,0,1,0,2,0,-3
788131,3,Puerto Rico,0,0,0,0,3,3
788131,4,Cuba,0,0,0,1,0,-3
788131,4,Puerto Rico,0,0,0,0,3,3
788131,5,Cuba,0,0,0,0,0,-3
788131,5,Puerto Rico,1,1,0,0,4,4
788131,6,Cuba,1,1,1,1,1,-3
788131,6,Puerto Rico,0,0,1,1,4,3
788131,7,Cuba,0,0,0,1,1,-3
788131,7,Puerto Rico,0,1,0,2,4,3
788131,8,Cuba,0,0,0,1,1,-3
788131,8,Puerto Rico,0,0,0,1,4,3
788131,9,Cuba,0,0,0,0,1,-3
788131,9,Puerto Rico,0,0,0,0,4,3
788099,1,Venezuela,1,0,0,0,1,1
788099,1,Nicaragua,0,2,1,1,0,-1
788099,2,Venezuela,0,0,0,0,1,1
788099,2,Nicaragua,0,0,0,0,0,-1
788099,3,Venezuela,1,1,0,0,2,2
788099,3,Nicaragua,0,0,0,0,0,-2
788099,4,Venezuela,0,0,0,0,2,2
788099,4,Nicaragua,0,3,0,2,0,-2
788099,5,Venezuela,1,1,0,2,3,3
788099,5,Nicaragua,0,0,1,0,0,-3
788099,6,Venezuela,1,1,0,1,4,4
788099,6,Nicaragua,0,0,1,0,0,-4
788099,7,Venezuela,0,2,0,1,4,4
788099,7,Nicaragua,0,1,0,2,0,-4
788099,8,Venezuela,0,0,0,0,4,4
788099,8,Nicaragua,0,0,0,0,0,-4
788099,9,Venezuela,0,0,0,0,4,4
788099,9,Nicaragua,0,1,0,1,0,-4
788122,1,Mexico,0,0,0,0,0,0
788122,1,United States,0,1,0,3,0,0
788122,2,Mexico,0,0,0,0,0,0
788122,2,United States,0,1,0,1,0,0
788122,3,Mexico,0,1,0,1,0,0
788122,3,United States,5,4,1,0,5,5
788122,4,Mexico,0,0,0,1,0,-5
788122,4,United States,0,1,0,2,5,5
788122,5,Mexico,0,0,0,0,0,-5
788122,5,United States,0,0,0,1,5,5
