試合ID,日付,ラウンド,プール,守備チーム,投手ID,投手,投球回,投球回（小数）,自責点,失点,被安打,奪三振,与四球,被本塁打,対戦打者数,投球数
788137,2026-03-07,Pool A,A,Panama,665789,Kenny Hernandez,1.2,1.6666666666666665,0,0,2,1,0,0,6,20
788137,2026-03-07,Pool A,A,Panama,665959,Abdiel Mendoza,0.2,0.6666666666666666,0,0,0,0,0,0,3,8
788137,2026-03-07,Pool A,A,Panama,593604,Alberto Baldonado,1.0,1.0,1,1,1,0,3,0,7,36
788137,2026-03-07,Pool A,A,Panama,605894,Severino González,1.0,1.0,1,2,2,0,0,1,4,8
788137,2026-03-07,Pool A,A,Puerto Rico,700842,Eduardo Rivera,4.1,4.333333333333333,1,1,1,5,1,0,16,56
788137,2026-03-07,Pool A,A,Puerto Rico,605347,Jorge López,0.1,0.3333333333333333,1,1,2,0,0,0,3,7
788137,2026-03-07,Pool A,A,Puerto Rico,703106,Ricardo Velez,1.1,1.3333333333333333,0,0,1,1,0,0,6,14
788137,2026-03-07,Pool A,A,Puerto Rico,687879,Luis Quiñones,2.0,2.0,0,0,0,5,1,0,7,29
788137,2026-03-07,Pool A,A,Puerto Rico,664744,Jose Espada,2.0,2.0,0,1,2,1,0,0,7,31
788107,2026-03-07,Pool D,D,Israel,815084,Ben Simon,0.1,0.3333333333333333,4,4,3,1,1,1,5,29
788107,2026-03-07,Pool D,D,Israel,810897,Charlie Beilenson,1.2,1.6666666666666665,0,0,1,2,0,0,6,20
788107,2026-03-07,Pool D,D,Israel,802363,Jordan Geber,3.0,3.0,1,1,2,2,1,1,13,44
788107,2026-03-07,Pool D,D,Israel,679946,Daniel Federman,0.1,0.3333333333333333,4,4,1,0,3,0,5,23
788107,2026-03-07,Pool D,D,Israel,641739,Rob Kaminsky,1.2,1.6666666666666665,1,1,4,1,0,1,8,29
788107,2026-03-07,Pool D,D,Israel,681671,Zack Leban,1.0,1.0,1,1,3,0,0,0,6,15
788107,2026-03-07,Pool D,D,Venezuela,646241,Enmanuel De Jesus,5.0,5.0,1,1,2,8,0,0,17,63
788107,2026-03-07,Pool D,D,Venezuela,645307,Ricardo Sánchez,2.0,2.0,1,1,2,0,0,1,8,28
788107,2026-03-07,Pool D,D,Venezuela,672582,Angel Zerpa,1.0,1.0,0,0,0,0,0,0,3,9
788107,2026-03-07,Pool D,D,Venezuela,683627,Anthony Molina,1.0,1.0,1,1,3,1,0,1,6,17
788127,2026-03-07,Pool B,B,Great Britain,643588,Tyler Viza,3.0,3.0,0,0,2,0,0,0,11,42
788127,2026-03-07,Pool B,B,Great Britain,695402,Najer Victor,1.1,1.3333333333333333,0,1,0,4,1,0,6,30
788127,2026-03-07,Pool B,B,Great Britain,668687,Andre Scrubb,0.0,0.0,3,3,3,0,0,1,3,9
788127,2026-03-07,Pool B,B,Great Britain,687630,Donovan Benoit,0.2,0.6666666666666666,1,1,1,0,1,0,5,20
788127,2026-03-07,Pool B,B,Great Britain,681501,Chavez Fernander,0.1,0.3333333333333333,3,3,2,0,2,0,5,19
788127,2026-03-07,Pool B,B,Great Britain,695680,Miles Langhorne,0.2,0.6666666666666666,0,0,2,1,0,0,4,21
788127,2026-03-07,Pool B,B,Great Britain,474699,Vance Worley,2.0,2.0,1,1,2,1,3,0,11,42
788127,2026-03-07,Pool B,B,United States,669373,Tarik Skubal,3.0,3.0,1,1,2,5,0,1,11,41
788127,2026-03-07,Pool B,B,United States,605280,Clay Holmes,3.0,3.0,0,0,1,6,0,0,9,38
788127,2026-03-07,Pool B,B,United States,670280,David Bednar,1.0,1.0,0,0,0,2,0,0,3,11
788127,2026-03-07,Pool B,B,United States,643377,Griffin Jax,1.0,1.0,0,0,0,2,0,0,3,14
788127,2026-03-07,Pool B,B,United States,641745,Brad Keller,1.0,1.0,0,0,0,2,0,0,3,15
788113,2026-03-08,Pool C,C,Chinese Taipei,830716,Ruei-Yang Gu Lin,4.0,4.0,1,1,2,1,1,0,14,59
788113,2026-03-08,Pool C,C,Chinese Taipei,827734,Wei-En Lin,2.1,2.3333333333333335,2,2,1,4,2,1,9,34
788113,2026-03-08,Pool C,C,Chinese Taipei,666020,Kai-Wei Lin,0.2,0.6666666666666666,0,0,0,0,0,0,1,7
788113,2026-03-08,Pool C,C,Chinese Taipei,806844,Yi-Lei Sun,1.2,1.6666666666666665,1,1,1,2,1,0,8,36
788113,2026-03-08,Pool C,C,Chinese Taipei,838359,Yi Chang,0.1,0.3333333333333333,0,0,0,0,1,0,2,9
788113,2026-03-08,Pool C,C,Chinese Taipei,809004,Jyun-Yue Tseng,1.0,1.0,0,0,0,0,0,0,3,9
788113,2026-03-08,Pool C,C,Korea,547943,Hyun Jin Ryu,3.0,3.0,1,1,3,3,0,1,12,50
788113,2026-03-08,Pool C,C,Korea,808971,Been Gwak,3.1,3.3333333333333335,1,1,2,3,1,1,13,47
788113,2026-03-08,Pool C,C,Korea,641540,Dane Dunning,1.2,1.6666666666666665,2,2,2,1,0,1,6,15
